year,total_energy,area,month
2012,10446795,chubu,12
2012,2484177,hokuriku,12
2012,11741700,kansai,12
2012,4966027,chugoku,12
2012,2284776,shikoku,12
2012,6961960,kyushu,12
2012,543906,okinawa,12
2012,2474916,hokkaido,11
2012,5853113,tohoku,11
2012,20353556,tokyo,11
2012,9619518,chubu,11
2012,2121987,hokuriku,11
2012,10633469,kansai,11
2012,4409988,chugoku,11
2012,2031635,shikoku,11
2012,6289861,kyushu,11
2012,584984,okinawa,11
2012,2330453,hokkaido,10
2012,5954562,tohoku,10
2012,21162855,tokyo,10
2012,9905691,chubu,10
2012,2074134,hokuriku,10
2012,10829947,kansai,10
2012,4463778,chugoku,10
2012,2089222,shikoku,10
2012,6519563,kyushu,10
2012,627158,okinawa,10
2012,2449062,hokkaido,09
2012,6558790,tohoku,09
2012,24777429,tokyo,09
2012,11471779,chubu,09
2012,2352075,hokuriku,09
2012,12860755,kansai,09
2012,5242117,chugoku,09
2012,2384746,shikoku,09
2012,7531917,kyushu,09
2012,764325,okinawa,09
2012,2352020,hokkaido,08
2012,6482895,tohoku,08
2012,24728354,tokyo,08
2012,11400790,chubu,08
2012,2474080,hokuriku,08
2012,13515686,kansai,08
2012,5334211,chugoku,08
2012,2546357,shikoku,08
2012,7976318,kyushu,08
2012,782099,okinawa,08
2012,2267614,hokkaido,07
2012,5927703,tohoku,07
2012,21451697,tokyo,07
2012,10403120,chubu,07
2012,2287782,hokuriku,07
2012,11494639,kansai,07
2012,4748526,chugoku,07
2012,2315975,shikoku,07
2012,6871695,kyushu,07
2012,719411,okinawa,07
2012,2206286,hokkaido,06
2012,5805323,tohoku,06
2012,19998126,tokyo,06
2012,9753830,chubu,06
2012,2092958,hokuriku,06
2012,10541629,kansai,06
2012,4484090,chugoku,06
2012,2101111,shikoku,06
2012,6433431,kyushu,06
2012,625951,okinawa,06
2012,2560220,hokkaido,05
2012,5954029,tohoku,05
2012,20627425,tokyo,05
2012,9662393,chubu,05
2012,2105094,hokuriku,05
2012,10977504,kansai,05
2012,4469564,chugoku,05
2012,2127202,shikoku,05
2012,6457919,kyushu,05
2012,556706,okinawa,05
2012,2765635,hokkaido,04
2012,6496959,tohoku,04
2012,21783450,tokyo,04
2012,10654457,chubu,04
2012,2311347,hokuriku,04
2012,11812949,kansai,04
2012,4926329,chugoku,04
2012,2236511,shikoku,04
2012,6789788,kyushu,04
2012,539242,okinawa,04
2012,3095981,hokkaido,03
2012,7222676,tohoku,03
2012,24281716,tokyo,03
2012,11379604,chubu,03
2012,2546709,hokuriku,03
2012,12629038,kansai,03
2012,5277335,chugoku,03
2012,2478442,shikoku,03
2012,7185716,kyushu,03
2012,521481,okinawa,03
2012,3103716,hokkaido,02
2012,7538197,tohoku,02
2012,25210353,tokyo,02
2012,11596843,chubu,02
2012,2747325,hokuriku,02
2012,12805602,kansai,02
2012,5427335,chugoku,02
2012,2504697,shikoku,02
2012,7653693,kyushu,02
2012,520190,okinawa,02
2012,3398532,hokkaido,01
2012,7538922,tohoku,01
2012,25743217,tokyo,01
2012,11593217,chubu,01
2012,2768472,hokuriku,01
2012,13138863,kansai,01
2012,5474502,chugoku,01
2012,2683633,shikoku,01
2012,7852997,kyushu,01
2012,576299,okinawa,01
2011,2737349,hokkaido,12
2011,6522573,tohoku,12
2011,21816343,tokyo,12
2011,10211952,chubu,12
2011,2407352,hokuriku,12
2011,11405170,kansai,12
2011,4846217,chugoku,12
2011,2264947,shikoku,12
2011,6574925,kyushu,12
2011,562543,okinawa,12
2011,2496598,hokkaido,11
2011,5818051,tohoku,11
2011,20488861,tokyo,11
2011,9677034,chubu,11
2011,2173595,hokuriku,11
2011,10720489,kansai,11
2011,4408420,chugoku,11
2011,2097668,shikoku,11
2011,6335912,kyushu,11
2011,606290,okinawa,11
2011,2447193,hokkaido,10
2011,5777632,tohoku,10
2011,20510086,tokyo,10
2011,10245631,chubu,10
2011,2164742,hokuriku,10
2011,11424938,kansai,10
2011,4664932,chugoku,10
2011,2204353,shikoku,10
2011,6776984,kyushu,10
2011,691094,okinawa,10
2011,2550245,hokkaido,09
2011,6169267,tohoku,09
2011,23968261,tokyo,09
2011,11541120,chubu,09
2011,2362043,hokuriku,09
2011,13195344,kansai,09
2011,5268574,chugoku,09
2011,2447336,shikoku,09
2011,7688088,kyushu,09
2011,735529,okinawa,09
2011,2465617,hokkaido,08
2011,6164948,tohoku,08
2011,23092073,tokyo,08
2011,11180218,chubu,08
2011,2470798,hokuriku,08
2011,13292382,kansai,08
2011,5283797,chugoku,08
2011,2560417,shikoku,08
2011,8018837,kyushu,08
2011,782524,okinawa,08
2011,2363054,hokkaido,07
