nuclear,total,area_id,year,month
1622587,10734744,4,2010,4
1264548,2496874,5,2010,4
4660481,12258486,6,2010,4
0,5172684,7,2010,4
1491818,2467681,8,2010,4
2797632,7001201,9,2010,4
0,604453,10,2010,4
1144709,2718051,1,2010,5
2075912,6748144,2,2010,5
6748767,23236584,3,2010,5
1675076,10317980,4,2010,5
1306643,2333951,5,2010,5
4310239,12062760,6,2010,5
0,5020513,7,2010,5
1288514,2364942,8,2010,5
2906196,6922394,9,2010,5
0,684162,10,2010,5
1104994,2673417,1,2010,6
2007720,6924632,2,2010,6
6885023,25348665,3,2010,6
1616653,11350387,4,2010,6
1010922,2466850,5,2010,6
5552937,12950814,6,2010,6
0,5277198,7,2010,6
1068276,2515559,8,2010,6
3234075,7372702,9,2010,6
0,770569,10,2010,6
1540910,2879134,1,2010,7
2182922,7835842,2,2010,7
7628838,30053669,3,2010,7
1665206,13196374,4,2010,7
896801,2831789,5,2010,7
5885733,15200282,6,2010,7
0,6050772,7,2010,7
1356680,2919651,8,2010,7
3652409,8767593,9,2010,7
0,887286,10,2010,7
1564408,2967526,1,2010,8
1835678,8328719,2,2010,8
7679344,31448619,3,2010,8
1662270,13414935,4,2010,8
900503,3013175,5,2010,8
5703175,16447409,6,2010,8
0,6530278,7,2010,8
1453341,3198108,8,2010,8
3553811,9532778,9,2010,8
0,895216,10,2010,8
1516943,2787891,1,2010,9
1774886,7258353,2,2010,9
6689668,27419579,3,2010,9
1610702,12463485,4,2010,9
1249769,2668604,5,2010,9
5309921,14280723,6,2010,9
0,5770170,7,2010,9
1057910,2764395,8,2010,9
2673368,8261183,9,2010,9
0,831408,10,2010,9
1582187,2822543,1,2010,10
1854434,7059998,2,2010,10
8238530,24248107,3,2010,10
1178323,10990151,4,2010,10
1304095,2469604,5,2010,10
5998863,12442510,6,2010,10
0,5178774,7,2010,10
1096125,2434042,8,2010,10
3007354,7211613,9,2010,10
0,746256,10,2010,10
1536050,2955104,1,2010,11
1882919,7312596,2,2010,11
6044545,24336196,3,2010,11
745110,11043532,4,2010,11
1263532,2607407,5,2010,11
6538848,12485370,6,2010,11
0,5268439,7,2010,11
1284820,2454038,8,2010,11
3832279,7186529,9,2010,11
0,615900,10,2010,11
1587824,3417245,1,2010,12
1850171,8156174,2,2010,12
6713967,26693970,3,2010,12
0,12056604,4,2010,12
987374,2902148,5,2010,12
6064927,13933365,6,2010,12
493796,5991085,7,2010,12
1534016,2804188,8,2010,12
3430554,8302875,9,2010,12
0,634686,10,2010,12
971382,3632312,1,2011,1
1798650,8954776,2,2011,1
6983073,29040670,3,2011,1
111742,13016189,4,2011,1
1021749,3202365,5,2011,1
5919812,15182490,6,2011,1
614813,6499311,7,2011,1
1539717,3060154,8,2011,1
3115465,9158108,9,2011,1
0,653729,10,2011,1
798587,3177223,1,2011,2
1062900,7773511,2,2011,2
7741442,26104229,3,2011,2
1532834,11665806,4,2011,2
956827,2792285,5,2011,2
5175575,13247308,6,2011,2
555802,5662019,7,2011,2
1391430,2658866,8,2011,2
2454720,7641149,9,2011,2
0,564448,10,2011,2
1404349,3327107,1,2011,3
354896,6728602,2,2011,3
5396526,24136210,3,2011,3
1897498,12088885,4,2011,3
281844,2962580,5,2011,3
5833301,14100498,6,2011,3
616349,5885272,7,2011,3
1541331,2826547,8,2011,3
2717007,8080582,9,2011,3
0,615773,10,2011,3
1402966,2865524,1,2011,4
0,5821679,2,2011,4
3622202,20659195,3,2011,4
1834801,10210407,4,2011,4
0,2483665,5,2011,4
5534584,12166978,6,2011,4
596022,5055154,7,2011,4
1462974,2449162,8,2011,4
2629687,6883560,9,2011,4
0,581198,10,2011,4
1144635,2716008,1,2011,5
0,5892916,2,2011,5
3739140,21103194,3,2011,5
781425,9970156,4,2011,5
0,2302642,5,2011,5
5347937,11991097,6,2011,5
614313,4906892,7,2011,5
853405,2393488,8,2011,5
2212846,6988145,9,2011,5
0,683553,10,2011,5
1107688,2637861,1,2011,6
0,6041875,2,2011,6
3608672,22387276,3,2011,6
0,11101987,4,2011,6
0,2453226,5,2011,6
4892227,12895860,6,2011,6
591011,5218228,7,2011,6
